Product ID,Category,Average_Inventory,Total_Units_Sold,Average_Daily_Demand,Total_Units_Ordered,Average_Price,Lead_Time_Demand,Safety_Stock,Reorder_Point,Risk_Status,Recommended_Action
P0003,Furniture,274.4598639455782,100272,136.42448979591836,83610,54.398979591836735,954.9714285714285,286.49142857142857,1241.462857142857,Stockout Risk,Consider replenishment
P0003,Groceries,279.0961791831357,104530,137.72068511198947,83109,55.30184453227931,964.0447957839262,289.2134387351779,1253.258234519104,Stockout Risk,Consider replenishment
P0003,Toys,273.66622516556293,101784,134.8132450331126,82724,55.95386754966887,943.6927152317882,283.10781456953646,1226.8005298013245,Stockout Risk,Consider replenishment
P0004,Clothing,274.4599156118143,96489,135.70886075949366,79538,53.63299578059071,949.9620253164557,284.9886075949367,1234.9506329113924,Stockout Risk,Consider replenishment
P0004,Electronics,269.6827309236948,98568,131.95180722891567,80855,56.182182061579645,923.6626506024097,277.0987951807229,1200.7614457831326,Stockout Risk,Consider replenishment
P0004,Furniture,274.9710344827586,104246,143.78758620689655,79447,54.755199999999995,1006.5131034482758,301.95393103448276,1308.4670344827587,Stockout Risk,Consider replenishment
P0004,Groceries,269.8968363136176,96752,133.08390646492435,76506,55.77602475928473,931.5873452544705,279.47620357634116,1211.0635488308117,Stockout Risk,Consider replenishment
P0004,Toys,268.9610738255034,99446,133.48456375838927,78319,57.24440268456376,934.3919463087249,280.31758389261745,1214.7095302013422,Stockout Risk,Consider replenishment
P0005,Clothing,273.99282639885223,97826,140.35294117647058,74269,55.0458106169297,982.470588235294,294.7411764705882,1277.2117647058822,Stockout Risk,Consider replenishment
P0005,Electronics,273.092866756393,98310,132.3149394347241,83460,56.41300134589502,926.2045760430686,277.8613728129206,1204.0659488559893,Stockout Risk,Consider replenishment
P0005,Furniture,276.6445945945946,104085,140.65540540540542,81820,55.54705405405405,984.5878378378379,295.3763513513514,1279.9641891891893,Stockout Risk,Consider replenishment
P0005,Groceries,270.34350132625997,103063,136.68832891246683,81882,53.10322281167109,956.8183023872677,287.0454907161803,1243.8637931034482,Stockout Risk,Consider replenishment
P0005,Toys,271.19417475728153,100364,139.2011095700416,79533,55.04130374479889,974.4077669902913,292.3223300970874,1266.7300970873787,Stockout Risk,Consider replenishment
P0006,Clothing,274.74145006839944,101595,138.98084815321477,78070,55.70596443228454,972.8659370725034,291.859781121751,1264.7257181942543,Stockout Risk,Consider replenishment
P0006,Electronics,280.50416666666666,98144,136.3111111111111,78613,55.29243055555556,954.1777777777777,286.2533333333333,1240.431111111111,Stockout Risk,Consider replenishment
P0006,Furniture,269.0156695156695,93062,132.56695156695156,74008,55.19603988603989,927.968660968661,278.3905982905983,1206.3592592592593,Stockout Risk,Consider replenishment
P0006,Groceries,273.2985842985843,106967,137.66666666666666,86531,53.19135135135135,963.6666666666666,289.09999999999997,1252.7666666666667,Stockout Risk,Consider replenishment
P0006,Toys,270.2096551724138,97363,134.29379310344828,79199,54.573793103448274,940.056551724138,282.0169655172414,1222.0735172413792,Stockout Risk,Consider replenishment
P0007,Clothing,278.10945945945946,103373,139.69324324324324,80200,56.71601351351351,977.8527027027027,293.3558108108108,1271.2085135135135,Stockout Risk,Consider replenishment
P0007,Electronics,270.5551181102362,102439,134.43438320209972,83186,54.77660104986876,941.040682414698,282.3122047244094,1223.3528871391075,Stockout Risk,Consider replenishment
P0007,Furniture,275.39130434782606,98498,133.8288043478261,80335,54.69270380434783,936.8016304347826,281.04048913043476,1217.8421195652174,Stockout Risk,Consider replenishment
P0007,Groceries,277.28735632183907,99147,142.45258620689654,75270,54.68811781609195,997.1681034482758,299.1504310344827,1296.3185344827584,Stockout Risk,Consider replenishment
P0007,Toys,272.44521497919555,95864,132.95977808599167,78647,53.67353675450763,930.7184466019417,279.2155339805825,1209.933980582524,Stockout Risk,Consider replenishment
P0008,Clothing,277.61721854304636,104517,138.43311258278146,84302,53.73211920529801,969.0317880794703,290.7095364238411,1259.7413245033113,Stockout Risk,Consider replenishment
P0008,Electronics,277.04881266490764,101782,134.27704485488127,81348,55.79408970976253,939.9393139841688,281.98179419525064,1221.9211081794194,Stockout Risk,Consider replenishment
P0008,Furniture,273.00272851296046,95337,130.06412005457025,81544,55.72263301500683,910.4488403819918,273.13465211459754,1183.5834924965893,Stockout Risk,Consider replenishment
P0008,Groceries,263.8458149779736,92340,135.59471365638765,74599,56.44942731277533,949.1629955947136,284.7488986784141,1233.9118942731277,Stockout Risk,Consider replenishment
P0008,Toys,271.4258241758242,94587,129.9271978021978,81036,55.159010989010994,909.4903846153846,272.8471153846154,1182.3375,Stockout Risk,Consider replenishment
P0009,Clothing,278.8159268929504,107734,140.644908616188,85202,56.072650130548304,984.5143603133159,295.35430809399475,1279.8686684073107,Stockout Risk,Consider replenishment
P0009,Electronics,270.3925925925926,90847,134.58814814814815,75616,53.54231111111111,942.1170370370371,282.63511111111114,1224.7521481481483,Stockout Risk,Consider replenishment
P0009,Furniture,280.1077922077922,105384,136.86233766233767,82084,54.725857142857144,958.0363636363636,287.41090909090906,1245.4472727272728,Stockout Risk,Consider replenishment
P0009,Groceries,276.9805825242718,98949,137.2385575589459,78195,57.62980582524271,960.6699029126213,288.2009708737864,1248.8708737864076,Stockout Risk,Consider replenishment
P0009,Toys,269.48547717842325,99172,137.1673582295989,77629,53.683720608575385,960.1715076071923,288.0514522821577,1248.22295988935,Stockout Risk,Consider replenishment
P0010,Clothing,277.6207865168539,100085,140.5688202247191,77625,53.2001404494382,983.9817415730338,295.19452247191015,1279.176264044944,Stockout Risk,Consider replenishment
P0010,Electronics,272.43707713125843,98374,133.11772665764548,85185,54.79315290933694,931.8240866035184,279.5472259810555,1211.3713125845738,Stockout Risk,Consider replenishment
P0010,Furniture,271.7289073305671,100998,139.69294605809128,82084,56.28356846473029,977.850622406639,293.3551867219917,1271.2058091286308,Stockout Risk,Consider replenishment
P0010,Groceries,280.25686813186815,97051,133.3118131868132,80949,56.45410714285714,933.1826923076924,279.9548076923077,1213.1375,Stockout Risk,Consider replenishment
P0010,Toys,272.71978751660026,99961,132.7503320053121,81080,56.01885790172642,929.2523240371846,278.7756972111554,1208.0280212483399,Stockout Risk,Consider replenishment
P0011,Clothing,276.64011379800854,102428,145.70128022759602,76741,55.98112375533429,1019.9089615931721,305.97268847795164,1325.8816500711237,Stockout Risk,Consider replenishment
P0011,Electronics,267.325551232166,102410,132.82749675745785,82799,57.88258106355383,929.7924773022049,278.9377431906615,1208.7302204928665,Stockout Risk,Consider replenishment
P0011,Furniture,268.8205128205128,101253,136.6437246963563,82748,54.88632928475033,956.5060728744941,286.9518218623482,1243.4578947368423,Stockout Risk,Consider replenishment
P0011,Groceries,272.2801161103048,93575,135.81277213352686,75814,57.81457184325109,950.689404934688,285.2068214804064,1235.8962264150944,Stockout Risk,Consider replenishment
P0011,Toys,279.26631158455393,99696,132.75099866844207,82523,55.62780292942743,929.2569906790944,278.7770972037283,1208.0340878828229,Stockout Risk,Consider replenishment
P0012,Clothing,267.7849740932642,98359,127.40803108808291,86065,54.626023316062174,891.8562176165804,267.5568652849741,1159.4130829015544,Stockout Risk,Consider replenishment
P0012,Electronics,269.94034090909093,95442,135.57102272727272,76889,54.937997159090905,948.997159090909,284.6991477272727,1233.6963068181817,Stockout Risk,Consider replenishment
P0012,Furniture,278.07894736842104,102589,142.09002770083103,79665,57.02343490304709,994.6301939058172,298.38905817174515,1293.0192520775624,Stockout Risk,Consider replenishment
P0012,Groceries,271.2765100671141,95570,128.28187919463087,82532,55.390093959731544,897.9731543624162,269.3919463087248,1167.365100671141,Stockout Risk,Consider replenishment
P0012,Toys,275.8272471910112,99710,140.0421348314607,78253,52.80462078651685,980.2949438202248,294.08848314606746,1274.3834269662923,Stockout Risk,Consider replenishment
P0013,Clothing,270.4382183908046,91623,131.64224137931035,77468,53.77741379310345,921.4956896551724,276.4487068965517,1197.9443965517241,Stockout Risk,Consider replenishment
P0013,Electronics,270.15277777777777,96082,133.44722222222222,77805,56.510083333333334,934.1305555555556,280.2391666666667,1214.3697222222222,Stockout Risk,Consider replenishment
P0013,Furniture,279.8388429752066,103529,142.60192837465564,81887,54.04101928374656,998.2134986225894,299.4640495867768,1297.6775482093663,Stockout Risk,Consider replenishment
P0013,Groceries,281.3146944083225,106742,138.80624187256177,83809,55.10768530559167,971.6436931079324,291.4931079323797,1263.136801040312,Stockout Risk,Consider replenishment
P0013,Toys,273.2567204301075,102643,137.96102150537635,84306,55.813870967741934,965.7271505376344,289.7181451612903,1255.4452956989248,Stockout Risk,Consider replenishment
P0014,Clothing,279.8360215053763,102974,138.40591397849462,82587,56.953521505376344,968.8413978494624,290.6524193548387,1259.4938172043012,Stockout Risk,Consider replenishment
P0014,Electronics,276.68275862068964,97008,133.8041379310345,79874,56.620813793103444,936.6289655172415,280.98868965517244,1217.6176551724138,Stockout Risk,Consider replenishment
P0014,Furniture,273.0013586956522,99983,135.84646739130434,80865,55.42160326086957,950.9252717391304,285.2775815217391,1236.2028532608695,Stockout Risk,Consider replenishment
P0014,Groceries,278.34927536231885,96586,139.97971014492754,78352,54.54052173913043,979.8579710144927,293.9573913043478,1273.8153623188405,Stockout Risk,Consider replenishment
P0014,Toys,281.46447368421053,111071,146.14605263157895,80807,55.21290789473684,1023.0223684210526,306.9067105263158,1329.9290789473685,Stockout Risk,Consider replenishment
P0015,Clothing,272.3732782369146,100698,138.70247933884298,80184,54.258209366391185,970.9173553719008,291.27520661157024,1262.192561983471,Stockout Risk,Consider replenishment
P0015,Electronics,274.5111731843575,100421,140.25279329608938,80126,54.21329608938547,981.7695530726256,294.53086592178767,1276.3004189944133,Stockout Risk,Consider replenishment
P0015,Furniture,287.9384010484928,112139,146.97116644823066,83799,54.748073394495414,1028.7981651376147,308.63944954128436,1337.437614678899,Stockout Risk,Consider replenishment
P0015,Groceries,274.9410150891632,97074,133.1604938271605,78016,55.32477366255144,932.1234567901236,279.63703703703703,1211.7604938271606,Stockout Risk,Consider replenishment
P0015,Toys,271.6366158113731,96951,134.46740638002774,78595,55.30407766990291,941.2718446601941,282.3815533980582,1223.6533980582524,Stockout Risk,Consider replenishment
P0016,Clothing,273.49299719887955,96447,135.07983193277312,79806,55.507114845938375,945.5588235294118,283.66764705882355,1229.2264705882353,Stockout Risk,Consider replenishment
P0016,Electronics,276.5054945054945,101019,138.76236263736263,78873,54.89304945054945,971.3365384615383,291.4009615384615,1262.7374999999997,Stockout Risk,Consider replenishment
P0016,Furniture,280.84806629834253,102722,141.88121546961327,81906,55.81379834254144,993.1685082872929,297.95055248618786,1291.1190607734807,Stockout Risk,Consider replenishment
P0016,Groceries,281.78305519897305,110560,141.92554557124518,85027,53.34347881899872,993.4788189987163,298.0436456996149,1291.522464698331,Stockout Risk,Consider replenishment
P0016,Toys,274.46197183098593,97724,137.6394366197183,77764,54.72266197183098,963.4760563380282,289.04281690140846,1252.5188732394367,Stockout Risk,Consider replenishment
P0017,Clothing,280.99466666666666,104030,138.70666666666668,83586,53.329453333333326,970.9466666666667,291.284,1262.2306666666668,Stockout Risk,Consider replenishment
P0017,Electronics,279.03786816269286,97845,137.23001402524545,78553,54.543506311360446,960.6100981767181,288.1830294530154,1248.7931276297336,Stockout Risk,Consider replenishment
P0017,Furniture,278.27733333333333,104173,138.89733333333334,81334,55.016733333333335,972.2813333333334,291.6844,1263.9657333333334,Stockout Risk,Consider replenishment
P0017,Groceries,279.39669421487605,96380,132.7548209366391,81752,56.061487603305785,929.2837465564737,278.7851239669421,1208.0688705234159,Stockout Risk,Consider replenishment
P0017,Toys,273.7611731843575,98082,136.98603351955308,78110,54.30638268156425,958.9022346368715,287.67067039106144,1246.5729050279328,Stockout Risk,Consider replenishment
P0018,Clothing,280.0345744680851,106775,141.9880319148936,82265,55.36375,993.9162234042553,298.1748670212766,1292.091090425532,Stockout Risk,Consider replenishment
P0018,Electronics,267.2667525773196,104796,135.0463917525773,84138,55.55021907216495,945.3247422680412,283.59742268041236,1228.9221649484534,Stockout Risk,Consider replenishment
P0018,Furniture,270.3188811188811,95057,132.94685314685316,77096,54.22644755244756,930.6279720279721,279.1883916083916,1209.8163636363638,Stockout Risk,Consider replenishment
P0018,Groceries,276.5178082191781,98671,135.16575342465754,78545,55.14220547945205,946.1602739726028,283.8480821917808,1230.0083561643837,Stockout Risk,Consider replenishment
P0018,Toys,268.34017595307915,87252,127.93548387096774,77577,53.651818181818186,895.5483870967741,268.6645161290322,1164.2129032258063,Stockout Risk,Consider replenishment
P0019,Clothing,278.61182519280203,102825,132.16580976863753,86053,56.36562982005141,925.1606683804628,277.54820051413884,1202.7088688946017,Stockout Risk,Consider replenishment
P0019,Electronics,263.32111436950146,90153,132.1891495601173,74836,53.45705278592375,925.324046920821,277.5972140762463,1202.9212609970673,Stockout Risk,Consider replenishment
P0019,Furniture,268.5459387483356,103321,137.57789613848203,81737,54.68145139813581,963.0452729693742,288.9135818908122,1251.9588548601864,Stockout Risk,Consider replenishment
P0019,Groceries,282.62054208273895,99861,142.45506419400857,78607,55.56644793152639,997.1854493580599,299.155634807418,1296.341084165478,Stockout Risk,Consider replenishment
P0019,Toys,278.93674293405115,101739,136.9300134589502,82323,55.15895020188425,958.5100942126514,287.5530282637954,1246.0631224764468,Stockout Risk,Consider replenishment
P0020,Clothing,267.2842857142857,90661,129.5157142857143,78196,54.5527,906.6100000000001,271.983,1178.593,Stockout Risk,Consider replenishment
P0020,Electronics,279.4449035812672,105469,145.2741046831956,79140,55.594242424242424,1016.9187327823691,305.0756198347107,1321.9943526170798,Stockout Risk,Consider replenishment
P0020,Furniture,279.17029972752044,100924,137.49863760217983,81130,57.05224795640327,962.4904632152588,288.74713896457763,1251.2376021798364,Stockout Risk,Consider replenishment
P0020,Groceries,276.2910863509749,99839,139.05153203342618,80705,54.55038997214485,973.3607242339833,292.00821727019496,1265.3689415041783,Stockout Risk,Consider replenishment
P0020,Toys,281.1248391248391,110815,142.61904761904762,88639,55.789562419562415,998.3333333333334,299.5,1297.8333333333335,Stockout Risk,Consider replenishment
