Product ID,Date,Weekly_Demand,Predicted_Demand
P0018,2023-06-04,4255,4520.355
P0018,2023-06-11,4482,4743.41
P0018,2023-06-18,4816,4855.37
P0018,2023-06-25,4217,4796.14
P0018,2023-07-02,4836,4719.28
P0018,2023-07-09,5005,4758.39
P0018,2023-07-16,5181,4837.055
P0018,2023-07-23,4684,5030.775
P0018,2023-07-30,4640,4949.725
P0018,2023-08-06,5175,5004.475
P0018,2023-08-13,5043,5032.46
P0018,2023-08-20,4937,5014.485
P0018,2023-08-27,4838,5057.2
P0018,2023-09-03,4747,4855.12
P0018,2023-09-10,4439,4955.935
P0018,2023-09-17,4722,4934.075
P0018,2023-09-24,5496,4672.54
P0018,2023-10-01,5640,4830.56
P0018,2023-10-08,5727,4811.865
P0018,2023-10-15,5347,5039.615
P0018,2023-10-22,4510,4846.275
P0018,2023-10-29,4986,4698.52
P0018,2023-11-05,4455,4800.89
P0018,2023-11-12,4695,4700.82
P0018,2023-11-19,4968,4928.41
P0018,2023-11-26,4831,4927.445
P0018,2023-12-03,4466,5000.835
P0018,2023-12-10,4410,5131.295
P0018,2023-12-17,5146,4886.535
P0018,2023-12-24,4311,5025.12
P0018,2023-12-31,3448,4649.63
P0018,2024-01-07,315,3341.16
P0019,2022-01-30,4079,4763.585
P0019,2022-02-06,3818,4632.965
P0019,2022-02-13,5817,4822.905
P0019,2022-02-20,4523,4805.32
P0019,2022-02-27,5444,4743.34
P0019,2022-03-06,4241,4741.7
P0019,2022-03-13,4875,4927.855
P0019,2022-03-20,4074,4601.175
P0019,2022-03-27,4358,4723.545
P0019,2022-04-03,4783,4707.35
P0019,2022-04-10,4594,4796.93
P0019,2022-04-17,4902,4836.36
P0019,2022-04-24,6171,4607.42
P0019,2022-05-01,4606,4825.94
P0019,2022-05-08,4481,4426.415
P0019,2022-05-15,4843,4685.29
P0019,2022-05-22,4312,4797.08
P0019,2022-05-29,5539,4934.975
P0019,2022-06-05,4471,4583.615
P0019,2022-06-12,4007,4735.88
P0019,2022-06-19,4795,4918.02
P0019,2022-06-26,5209,4692.215
P0019,2022-07-03,4357,4803.085
P0019,2022-07-10,3533,4788.63
P0019,2022-07-17,5162,4914.95
P0019,2022-07-24,5332,4954.925
P0019,2022-07-31,4178,4920.025
P0019,2022-08-07,4913,4860.085
P0019,2022-08-14,4040,4914.77
P0019,2022-08-21,4310,4665.41
P0019,2022-08-28,4491,5040.22
P0019,2022-09-04,4711,4772.675
P0019,2022-09-11,5550,4601.095
P0019,2022-09-18,4842,5111.03
P0019,2022-09-25,5241,4980.965
P0019,2022-10-02,6173,4553.13
P0019,2022-10-09,4113,4605.445
P0019,2022-10-16,4372,4720.335
P0019,2022-10-23,5224,4813.17
P0019,2022-10-30,4704,4586.615
P0019,2022-11-06,4757,4683.995
P0019,2022-11-13,4819,5121.835
P0019,2022-11-20,5965,4918.6
P0019,2022-11-27,6092,4990.005
P0019,2022-12-04,4473,4903.495
P0019,2022-12-11,4210,4710.11
P0019,2022-12-18,4918,4879.985
P0019,2022-12-25,5389,4721.405
P0019,2023-01-01,3024,5040.025
P0019,2023-01-08,4612,2261.645
P0019,2023-01-15,4530,4390.39
P0019,2023-01-22,4266,4874.96
P0019,2023-01-29,4612,4818.725
P0019,2023-02-05,5874,4756.515
P0019,2023-02-12,4784,4636.155
P0019,2023-02-19,4851,4903.775
P0019,2023-02-26,5803,4994.265
P0019,2023-03-05,4992,4889.025
P0019,2023-03-12,4443,4782.37
P0019,2023-03-19,3976,4838.0
P0019,2023-03-26,4595,4826.94
P0019,2023-04-02,4540,4705.525
P0019,2023-04-09,4001,4737.375
P0019,2023-04-16,4206,4688.97
P0019,2023-04-23,4307,4740.855
P0019,2023-04-30,5343,4775.415
P0019,2023-05-07,4142,4876.705
P0019,2023-05-14,6559,4746.08
P0019,2023-05-21,6795,4719.755
P0019,2023-05-28,4906,4646.705
P0019,2023-06-04,4580,4958.55
P0019,2023-06-11,5035,4686.015
P0019,2023-06-18,4592,4692.87
P0019,2023-06-25,4380,4819.79
P0019,2023-07-02,4798,5015.45
P0019,2023-07-09,4587,4676.105
P0019,2023-07-16,3162,5042.63
P0019,2023-07-23,4740,4734.26
P0019,2023-07-30,3843,4734.075
P0019,2023-08-06,4596,4917.775
P0019,2023-08-13,4990,5253.8
P0019,2023-08-20,5349,5064.725
P0019,2023-08-27,5519,4904.655
P0019,2023-09-03,4838,4689.675
P0019,2023-09-10,4673,4819.905
P0019,2023-09-17,3680,4930.48
P0019,2023-09-24,4674,4880.29
P0019,2023-10-01,6628,4635.325
P0019,2023-10-08,4389,4759.075
P0019,2023-10-15,5170,4978.56
P0019,2023-10-22,5054,4805.25
P0019,2023-10-29,3927,4904.6
P0019,2023-11-05,5562,4983.625
P0019,2023-11-12,4896,4834.475
P0019,2023-11-19,4620,4876.65
P0019,2023-11-26,4544,4818.92
P0019,2023-12-03,4615,4830.37
P0019,2023-12-10,4594,4805.29
P0019,2023-12-17,4474,4952.42
P0019,2023-12-24,4386,4935.55
P0019,2023-12-31,4976,4722.285
P0019,2024-01-07,877,1760.885
P0020,2022-01-30,4785,4642.44
P0020,2022-02-06,4337,4620.95
P0020,2022-02-13,4101,4834.64
P0020,2022-02-20,4228,4748.175
P0020,2022-02-27,5020,4738.3
P0020,2022-03-06,5871,4833.195
P0020,2022-03-13,6766,4524.615
P0020,2022-03-20,4859,4497.665
P0020,2022-03-27,4901,4873.485
P0020,2022-04-03,4733,4694.15
P0020,2022-04-10,6039,4499.645
P0020,2022-04-17,4969,4845.625
P0020,2022-04-24,4587,4448.03
P0020,2022-05-01,5213,4779.375
P0020,2022-05-08,5203,4789.265
P0020,2022-05-15,3942,4517.885
P0020,2022-05-22,4651,4920.87
P0020,2022-05-29,3564,4711.32
P0020,2022-06-05,6111,4636.835
P0020,2022-06-12,5152,4832.17
P0020,2022-06-19,5271,4725.77
P0020,2022-06-26,5256,4668.055
P0020,2022-07-03,4408,5069.32
P0020,2022-07-10,4939,4963.825
P0020,2022-07-17,5676,4830.235
P0020,2022-07-24,6082,5213.505
P0020,2022-07-31,5334,4785.565
P0020,2022-08-07,3598,5036.87
P0020,2022-08-14,4402,4659.175
P0020,2022-08-21,5173,4726.0
P0020,2022-08-28,3506,4718.09
P0020,2022-09-04,4078,5016.72
P0020,2022-09-11,5689,4724.325
P0020,2022-09-18,4069,4963.205
P0020,2022-09-25,4632,4908.51
P0020,2022-10-02,5037,4678.235
P0020,2022-10-09,5223,4672.84
P0020,2022-10-16,5804,4819.37
P0020,2022-10-23,5142,4851.46
P0020,2022-10-30,5583,4657.835
P0020,2022-11-06,5361,4864.935
P0020,2022-11-13,4916,4821.93
P0020,2022-11-20,4421,5081.175
P0020,2022-11-27,5327,4953.64
P0020,2022-12-04,4598,4903.35
P0020,2022-12-11,5382,5009.33
P0020,2022-12-18,3675,5078.225
P0020,2022-12-25,5191,4734.695
P0020,2023-01-01,4496,4789.41
P0020,2023-01-08,5362,3158.15
P0020,2023-01-15,4814,4727.585
P0020,2023-01-22,4811,4982.815
P0020,2023-01-29,5026,4883.615
P0020,2023-02-05,5321,4896.67
P0020,2023-02-12,5218,4807.83
P0020,2023-02-19,6168,4879.445
P0020,2023-02-26,4471,4612.02
P0020,2023-03-05,3794,4653.86
P0020,2023-03-12,4487,4730.535
P0020,2023-03-19,4395,4693.895
P0020,2023-03-26,3761,4734.66
P0020,2023-04-02,6464,4876.115
P0020,2023-04-09,4283,4823.42
P0020,2023-04-16,4713,4876.89
P0020,2023-04-23,5292,4695.96
P0020,2023-04-30,4834,4789.48
P0020,2023-05-07,5109,4703.485
P0020,2023-05-14,4866,4607.495
P0020,2023-05-21,4056,5032.505
P0020,2023-05-28,4024,4546.06
P0020,2023-06-04,4716,4700.57
P0020,2023-06-11,3820,4894.555
P0020,2023-06-18,4713,4661.085
P0020,2023-06-25,5436,4796.84
P0020,2023-07-02,4984,4658.21
P0020,2023-07-09,4912,5146.32
P0020,2023-07-16,5513,4940.605
P0020,2023-07-23,5492,4665.845
P0020,2023-07-30,4329,4823.295
P0020,2023-08-06,4402,4976.15
P0020,2023-08-13,4406,4911.16
P0020,2023-08-20,4277,4584.025
P0020,2023-08-27,4114,5114.58
P0020,2023-09-03,4329,4715.705
P0020,2023-09-10,3814,4692.265
P0020,2023-09-17,5244,4727.85
P0020,2023-09-24,4846,4667.83
P0020,2023-10-01,5460,4859.415
P0020,2023-10-08,4911,4983.705
P0020,2023-10-15,4255,4861.465
P0020,2023-10-22,5300,5064.755
P0020,2023-10-29,4436,4713.805
P0020,2023-11-05,4380,4840.125
P0020,2023-11-12,5535,4970.555
P0020,2023-11-19,6085,4991.705
P0020,2023-11-26,5234,4917.745
P0020,2023-12-03,4159,4454.42
P0020,2023-12-10,4727,4745.76
P0020,2023-12-17,6085,4425.26
P0020,2023-12-24,4830,4923.145
P0020,2023-12-31,4525,4666.49
P0020,2024-01-07,803,1036.175
